,Unnamed: 0,human_text,machine_text,title,tags,undername,href,views,rating
65,65,"С конца февраля россияне столкнулись с трудностями в обращении валюты — сейчас они могут перевести ее в рубли, открыть валютный вклад или инвестировать в ценные бумаги или стартапы. Такие способы использования валюты назвал экономист Юрий Капышек в беседе с «Главным региональным».«Нужно перевести деньги в рубли и инвестировать или в ценные бумаги, или в стартапы. Тем более предложений от банков, которые работают в данном направлении и сами финансируют разработки, достаточно много», — заявил Каптышек.Вторым верным способом сохранить средства, по заверению эксперта, открыть валютный вклад в банке. «Процент маленький. Но хотя бы можно будет сохранить деньги», — отметил специалист.6 октября аналитик �саков рекомендовал россиянам снижать долю валюты в сбережениях. Существуют и альтернативные валюты, которые могут стать одним из инструментов хранения сбережений. В первую очередь это, как считает �саков, юань, который наиболее интересен по соображениям ликвидности.",0,Россиянам назвали способы использования валюты,['Капитал'],"Экономист Капышек: сейчас валюту можно перевести в рубли, инвестировать или открыть вклад",https://lenta.ru/news/2022/10/08/valuta/,2000,1
66,66,"Олимпийский чемпион Алексей Ягудин высказался о первой съемке фигуристки Анны Щербаковой в роли ведущей телешоу «Ледниковый период». Его слова передает Р�А Новости.«Гениально», — одним словом описал Ягудин дебют 18-летней спортсменки на телевидении. Он отметил высокий профессионализм фигуристки.5 октября стало известно, что Щербакова стала третьей ведущей нового сезона «Ледникового периода». 6 и 7 октября вместе с другими ведущими, Алексеем Ягудиным и олимпийской чемпионкой Алиной Загитовой, она принимала участие в съемках первых двух серий.Анна Щербакова — олимпийская чемпионка 2022 года. Помимо золота �гр, на счету фигуристки победы в личном и командном чемпионатах мира. Также она трижды выигрывала чемпионат России. Начало сезона-2022/2023 спортсменка пропускает, так как восстанавливается после операции на ноге.",0,Ягудин одним словом описал дебют Щербаковой в роли ведущей «Ледникового периода»,['Зимние виды'],Ягудин назвал дебют фигуристки Щербаковой в роли ведущей «Ледникового периода» гениальным,https://lenta.ru/news/2022/10/08/yagudin/,2000,0
67,67,"Врач-диетолог, нутрициолог �рина Писарева назвала полезную замену сладостям в беседе с RT.Специалист посоветовала употреблять фрукты «в умеренном количестве» до 17:00, примерно через два часа после еды, «чтобы переварилась основная пища».Также диетолог отметила, что полезной заменой могут быть сахарозаменители. По ее словам, лучше использовать натуральный эритрит, подсластитель стевия, а также сиропы топинамбура, агавы или цикория.Писарева добавила, что альтернативной заменой может быть мед, но только «если на него нет аллергии». Кроме того, Писарева порекомендовала заменить сладости различными сухофруктами, горьким шоколадом, домашними конфетами, которые сделаны из сухофруктов и горького шоколада, а также протеиновыми батончиками.Ранее врач-диетолог Руслан Алиев напомнил о доступных каждому способах ускорить обмен веществ и, как следствие, сбросить вес. По его словам, скорость метаболизма в организме можно контролировать при помощи спорта и еды.",0,Диетолог назвала полезную замену сладостям,['Питание и сон'],Диетолог Писарева посоветовала заменить сладости сухофруктами и протеиновыми батончиками  ,https://lenta.ru/news/2022/10/08/sweet/,2000,0
68,68,"Движение по Крымскому мосту приостановлено из-за возгорания цистерны с топливом. Об этом сообщает Р�А Новости со ссылкой на пресс-службу дорожного управления «Тамань».«Движение на транспортном переходе через Керченский пролив временно приостановлено», — сообщили в ведомстве.8 октября стало известно о возгорании на мосту через Керченский пролив. Советник главы Крыма Олег Крючков сообщил, что на одном из участков железнодорожного полотна загорелась цистерна с топливом, судоходные арки не повреждены. «О причинах и последствиях говорить рано. Ведутся работы по тушению пожара», — заявил он.",0,Движение по Крымскому мосту приостановлено из-за пожара,['Происшествия'],Движение по Крымскому мосту приостановлено после возгорания цистерны с топливом,https://lenta.ru/news/2022/10/08/dvizhenie/,2000,0
69,69,"Цистерна с топливом, по предварительным данным, горит на одном из участков Крымского моста, судоходные арки не повреждены. Подробности пожара раскрыл советник главы Крыма Олег Крючков в своем Telegram-канале.«Предварительно, горит цистерна с топливом на одном из участков. Судоходные арки не повреждены. О причинах и последствиях говорить рано. Ведутся работы по тушению пожара», — заявил Крючков.Ранее сообщалось, что на Крымском мосту утром в субботу, 8 октября, произошел пожар. По предварительным данным, в районе 6:00 утра загорелся один из вагонов товарного поезда, который шел из Тамани в Керчь. О причинах возгорания и пострадавших не сообщалось.Крах однополярного мира",0,Раскрыты подробности пожара на Крымском мосту,['Происшествия'],Советник главы Крыма Крючков: на участке Крымского моста горит цистерна с топливом,https://lenta.ru/news/2022/10/08/podrob/,2000,0
70,70,"При планировании беременности нужно обязательно рассказать своему врачу акушеру-гинекологу, что вы хотели бы родить ребенка в течение ближайшего года или двух, рассказывает акушер-гинеколог, завотделением патологии беременных в Московском многопрофильном клиническом центре «Коммунарка» Евгений Тажетдинов. Он также поделился с «Лентой.ру» другими рекомендациями о том, как правильно готовится к беременности.«Этого времени вполне достаточно, чтобы пройти необходимое обследование и выявить так называемые «факторы риска», провести лечение имеющихся заболеваний и скорректировать образ жизни», — объяснил врач. По его словам, это касается как самой женщины, так и мужчины.Анализы и прививкиПри планировании беременности необходимо провести лечение имеющихся заболеваний и сделать прививки от тех болезней, которые могут повлиять на ее исход, подчеркнул врач.Кроме того, следует сделать ряд анализов. Это общий анализ мочи, клинический анализ крови, анализы на определение уровня глюкозы в плазме венозной или капиллярной крови, определение сывороточных антител к бледной трепонеме, антигенов и антител В�Ч-1/2, выявление HBsAg, анти-HCV, определение концентрации тиреотропного гормона (ТТГ), антител к вирусу краснухи, а также определение группы крови и резус-фактора. Последнее необходимо, так как при отрицательном резус-факторе женщины следует уточнить резус-принадлежность партнера.Материалы по теме:«Две женщины подарят мужчине больше любви»�стории российских семей, которые выбрали многоженство14 сентября 2022Компульсивное переедание.Как эмоции провоцируют психогенное расстройство пищевого поведения и каковы его последствия27 августа 2022Образ жизниПри подготовке к беременности следует отказаться от курения, злоупотребления алкоголем и применения наркотических и психотропных средств. Все это, по словам акушера-гинеколога, отрицательно влияет на фертильность, вынашивание и исход беременности.Помимо этого, желательно снизить стрессовые нагрузки, обеспечить умеренную физическую нагрузку ",0,Россиянкам дали советы по планированию беременности,['Все'],Врач Тажетдинов: при подготовке к беременности следует скорректировать образ жизни,https://lenta.ru/news/2022/10/08/beremennost/,2000,0
71,71,"Пострадавшую от вспыхнувшего летом 2022 года пожара усадьбу композитора Римского-Корсакова, расположенную в Псковской области, начнут восстанавливать в 2024 году. Как уточняет со ссылкой на гендиректора Псковского музея-заповедника Светлану Мельникову ТАСС, в ходе запланированных работ будет также приведена в порядок территория вокруг усадьбы, в том числе дубовый парк и старинный пруд.Собеседница агентства отметила, что на месте пожара уже побывала группа экспертов. «По итогам комиссии будет сделано серьезное исследовательское заключение, на основе которого можно сделать документы, связанные с проектно-сметными вопросами», — рассказала Мельникова, понадеявшись, что 2023 год будет посвящен работе над проектом, а 2024 — его реализации.Гендиректор музея указала, что при работе над проектом важно решить вопросы, касающиеся приспособления здания усадьбы. Так, необходимо обустроить помещения для хранения фондов и разместить на территории музея современную систему пожаротушения. Мельникова добавила, что фонды музея продолжают пополняться: в частности, недавно усадьбе передали рояль, который напрямую связан с семьей Римских-Корсаковых. «За этим роялем сидел и сын, и внуки», — пояснила она.Ранее сообщалось, что музею-усадьбе Римского-Корсакова в Псковской области передадут в дар оригинальное пианино «Беккер» из квартиры родственников музыканта. Сначала музыкальный инструмент находился на даче Римских-Корсаковых в деревне Комарово Лужского района, а затем был перевезен в Ленинград.О том, что в деревне Любенск Псковской области загорелся музей-заповедник композитора Николая Римского-Корсакова, стало известно 2 июля 2022 года. По словам губернатора региона, пожар возник из-за неосторожности строителей, которые перекрывали кровлю усадьбы с использованием открытого огня.",0,В Псковской области восстановят усадьбу Римского-Корсакова,['�стория'],Поврежденную при пожаре усадьбу Римского-Корсакова под Псковом отреставрируют,https://lenta.ru/news/2022/10/08/otrestavr/,2000,0
72,72,"На Крымском мосту произошел пожар, там загорелась цистерна с топливом. Об этом сообщает Telegram-канал Mash.По предварительным данным, в районе 6:00 утра субботы, 8 октября, загорелся один из вагонов товарного поезда, который шел из Тамани в Керчь. Виден сильный дым, о причинах возгорания и пострадавших не сообщалось.Крах однополярного мира",0,На Крымском мосту произошел пожар,['Происшествия'],Mash: на Крымском мосту загорелся цистерна с топливом на товарном поезде Тамань — Керчь,https://lenta.ru/news/2022/10/08/most/,2000,0
73,73,"Глава М�Д Саудовской Аравии Адель аль-Джубейр в интервью Fox News прокомментировал претензии США из-за сокращения добычи нефти. Он отметил, что высокие цены на бензин в США — не вина Саудовской Аравии, а следствие нехватки нефтеперерабатывающих заводов (НПЗ) в самих Штатах.У вас дефицит переработки, вы не строили нефтеперерабатывающие заводы десятилетиямиАдель аль-ДжубейрМинистр иностранных дел Саудовской АравииПри этом аль-Джубейр уточнил, что Саудовская Аравия не ставила целью навредить США, а идея об этом «целиком и полностью неверна».Сокращение добычи нефти5 октября ОПЕК+ приняла решение резко сократить добычу нефти с ноября текущего года. Страны должны будут уменьшить производство на два миллиона баррелей в сутки от утвержденных в августе квот.Материалы по теме:Черный налогРоссия может потерять месторождения высоковязкой нефти30 ноября 2020�нфляция, рост цен и кризис.Почему из-за санкций против России страдают миллионы людей в США, Европе и по всему миру?31 мая 2022Согласно подсчетам агентства Bloomberg, реальное сокращение составит примерно 900 тысяч баррелей в день. В сообщении ОПЕК+ также отмечается, что сделка об объемах добычи нефти будет продлена до 31 декабря 2023 года.Накануне заседания ОПЕК+ администрация президента США Джо Байдена пыталась отговорить страны принимать решение по добыче нефти, объясняя это отсутствием необходимости в текущей экономической ситуации.Обвинения США 8 октября президент США Джо Байден обвинил Россию и Саудовскую Аравию в росте цен на бензин в стране.Я смог снизить цену на бензин более чем на 1,6 доллара [за галлон], но она постепенно повышается из-за того, что только что сделали РФ и Саудовская Аравия. (…) Цены на рецептурные препараты, на здравоохранение и энергетику будут растиДжо БайденПрезидент СШАПолитик также обратил внимание на усилия своей администрации, которые направлены на увеличение числа рабочих мест в Соединенных Штатах, привлечение инвестиций в компании, борьбу с инфляцией, а также перечислил другие аспекты эко",0,Саудовская Аравия прокомментировала претензии США из-за сокращения добычи нефти,['Политика'],"Fox News: аль-Джубейр заявил, что Саудовская Аравия сократила добычу нефти не во вред США",https://lenta.ru/news/2022/10/08/saudovskaiaaraviya/,2000,0
74,74,"Американский конгресс может перейти под контроль Республиканской партии после промежуточных выборов, которые состоятся в ноябре 2022 года. Об этом сообщает портал Real Clear Politics (RCP)Уточняется, что переход конгресса под контроль республиканцев приведет к трудностям нынешней правящей партии в продвижения своей политики и утверждении номинации на руководящие посты.Накануне президент США Джо Байден заявил, что будет баллотироваться на президентских выборах в ноябре 2024 года и собирается пойти на второй срок. «Я собираюсь сделать это еще раз… Я намерен», — подтвердил он.В сентября издание The Wall Street Journal допустило, что в преддверии промежуточных выборов в конгресс США в политической элите может случиться раскол из-за идеи помощи Украине. Так, большинство мест могут занять республиканцы, которые в разгар внутренних проблем, в том числе инфляции, не видят необходимости в оправдании столь огромных трат на поставки оружия Киеву, а следовательно, постараются сократить расходы.",0,В США допустили переход конгресса под контроль республиканцев,['Политика'],RCP: конгресс США может перейти под контроль республиканцев после промежуточных выборов ,https://lenta.ru/news/2022/10/08/vybory/,2000,0
75,75,"Губернатор Сахалинской области Валерий Лимаренко отреагировал на заявления Украины, признавшей Южные Курильские острова «оккупированной Россией территорией». Об этом он написал в своем Telegram-канале.«Курильские острова — территория Российской Федерации. Наша земля», — подчеркнул глава региона.Лимаренко напомнил о недопустимости любых споров о принадлежности Курильских остров и призывов к нарушению целостности государства. «Особенно нелепо, когда они исходят от представителей киевской хунты», — добавил он.Ранее президент Украины Владимир Зеленский подписал указ, которым признал Южные Курильские острова «оккупированной Россией территорией». В пятницу, 7 октября, Верховная Рада Украины сообщила о поддержке позиции Японии по вопросу южных Курильских островов и приняла соответствующее постановление.",0,Сахалинский губернатор отреагировал на заявления Украины о Южных Курилах,['Политика'],Сахалинский губернатор Лимаренко заявил о недопустимости заявлений Украины о Южных Курилах,https://lenta.ru/news/2022/10/08/limarenko/,2000,0
76,76,"Британский таблоид The Sun описал ответ США на использование Россией ядерного оружия. По мнению автора существует четыре возможных сценария.Так, первый вариант — это ядерный удар по России, в том числе по Москве. Однако эксперты назвали этот сценарий маловероятным, поскольку такое развитие событий приведет к эскалации конфликта и его превращению «в ужасающую полномасштабную ядерную войну между Западом и Россией».Также в качестве вероятной меры издание называет удар по российским вооруженным силам, которые принимают участие в специальной военной операции на  Украине.В качестве третьего и четвертого сценария называются ограниченный ядерный удар по Крыму и Черноморскому флоту.В сентябре официальный представитель американской администрации Карин Жан-Пьер рассказала, что США серьезно воспринимают угрозы России, касающиеся возможности применения ядерного оружия в случае угрозы ее территориальной целостности, однако, по их оценкам, в настоящее время нет признаков того, что Москва собирается его использовать.",0,В Британии описали ответ США на использование Россией ядерного оружия,['Политика'],The Sun: США могут нанести удар по Крыму в случае использования Россией ядерного оружия,https://lenta.ru/news/2022/10/08/four/,2000,0
77,77,"Землетрясение магнитудой 2,5 произошло на северо-востоке КНДР, в районе уезда Кильджу в провинции Хамген-Пукто, где находится ядерный полигон Пхунгери. Об этом сообщает ТАСС со ссылкой на южнокорейскую метеорологическую администрацию.Отмечается, что землетрясение рядом с объектом носило природный, а не техногенный характер. Очаг залегал на глубине 23 км.На полигоне Пхунгери КНДР проводила ядерные испытания, однако в 2018 году северокорейские власти объявили о демонтаже полигона в качестве добровольной меры денуклеаризации и в присутствии иностранных журналистов взорвали имевшиеся на нем туннели и постройки.В марте южнокорейское агентство Yonhap со ссылкой на источники в разведке и правительстве сообщало, что власти КНДР ведут работы по восстановлению сети подземных тоннелей на ядерном полигоне Пхуенгери. По их информации, северокорейские власти восстанавливают часть тоннелей ядерного полигона Пхунгери для использования коммуникаций в рамках новых испытаний оружия массового поражения.Ранее в Национальной авиационной администрации КНДР заявили, что последние ракетные испытания проводились с целью самообороны от прямых военных угроз со стороны США.",0,В КНДР рядом с ядерным полигоном произошло землетрясение,['Происшествия'],"Землетрясение магнитудой 2,5 произошло рядом с ядерным полигоном Пхунгери в КНДР",https://lenta.ru/news/2022/10/08/kndr/,2000,0
78,78,"Разногласия по Украине между участниками Pink Floyd затруднили продажу музыкального каталога группы. Об этом сообщает газета Financial Times (FT).В мае все участниками «золотого» состава музыкального коллектива на аукцион был выставлен каталог песен. �м заинтересовались такие компании, как Blackstone, Sony Music и Warner Music. По данным издания, сумма сделки может превысить 500 миллионов долларов. Однако разногласия между артистками препятствуют заключению соглашения.Кроме того, успешному завершению этого процесса мешают споры о налогах, активах, а также вокруг опубликованного ранее в Rolling Stone интервью сооснователя Pink Floyd  Роджера Уотерса, где он заявил, что попал в базу данных националистического сайта «Миротворец», которую назвал «расстрельным списком»Один из участников аукциона сообщил, что натянутые отношения между Роджером Уотерсом, Дэвидом Гилмором и Ником Мэйсоном сделали невозможным заключение сделки. Отмечается, что переговоры идут «настолько тяжело, насколько это вообще возможно».Ранее Уотерс рассказал, что попал в базу данных националистического сайта «Миротворец». Музыкант считает, что оказался в этом перечне украинского правительства из-за того, что открыто поддерживал Россию. Уотерс признался, что воспринимает эту угрозу как реальную. «Они же недавно убивали людей. � когда тебя убивают, на твоей фотографии пишут ликвидирован. Теперь так произошло и с моим фото», — заметил рокер.",0,Разногласия по Украине затруднили продажу музыкального каталога Pink Floyd,['Музыка'],FT: разногласия по Украине между музыкантами затруднили продажу каталога песен Pink Floyd ,https://lenta.ru/news/2022/10/08/pinkfloyd/,2000,0
79,79,"Власти Британии распорядились срочно обследовать подводные кабели и трубопроводы, выражая опасения, что их якобы могла заминировать Россия. Об этом сообщает газета Daily Mail.«Министр обороны Бен Уоллес на этой неделе направил военные корабли в Северное море, чтобы сдержать атаки Кремля после взрывов на ключевых газопроводах на Балтике», — пишет издание.Министры также попросили ВМФ провести обследование важнейших трубопроводов и кабелей «на случай, если Россия уже развернула дистанционные мины», отмечает газета.7 октября служба безопасности Швеции завершила расследование на месте утечек на «Северных потоках». В результате осмотра правоохранители «усилили подозрения в грубой диверсии». Позже сообщалось, что Россия собралась провести свое расследование диверсии на нитях газопроводов.Крах однополярного мира",0,Британия обследует трубопроводы из-за опасения «минирования» Россией,['Политика'],"Daily Mail заявила, что Британия обследует трубопроводы из-за опасений минирования Россией",https://lenta.ru/news/2022/10/08/britain/,2000,0
80,80,"После решения ОПЕК+ по сокращению нефтедобычи президент США Джо Байден оказался перед сложной дилеммой: продолжать попытки добиться расположения Саудовской Аравии или принять жесткие ответные меры. Об этом пишет The New York Times.По данным издания, в Вашингтоне многие расценили решение ОПЕК+ как «удар в спину Байдену», а перед американским лидером встает вопрос о том, что делать с «этим похожим на предательство решением». Отмечается, что однопартийцы-демократы недовольны его «чрезмерной почтительностью» к Эр-Рияду и с усиленной энергией наседают на Байдена, требуя «наказать» саудитов.В то же время, утверждает газета, помощники Байдена, похоже, хотят в противовес этому решению брать больше нефти из стратегического запаса. Однако у американского президента мало вариантов по борьбе с сокращением нефтедобычи, и все они имеют свои недостатки.Материалы по теме:Новые порядки.США перестали быть мировым лидером. Как Россия и Китай борются с Западом за мировое господство?7 октября 2022Беспрецедентные разрушения на «Северном потоке»:что известно о диверсии на главном газопроводе из России в Европу?27 сентября 2022«Действительно большая дыра»Газопровод «Северный поток» пострадал от мощных взрывов. Сможет ли Европа пережить зиму?27 сентября 2022Решение отбирать больше нефти из стратегических запасов в случае стихийного бедствия может грозить дефицитом топлива, поскольку объем резервов в стране в данный момент самый низкий за последние 40 лет. �з-за возможного ограничения экспорта нефтепродуктов вырастет предложение и снизятся цены в США, однако пострадают торговые партнеры, особенно в Европе.Расширение буровых работ и смягчение правил и норм бурения грозит негативной реакцией защитников окружающей среды. Снятие санкций с �рана и Венесуэлы может поспособствовать увеличению предложения на рынке, однако ситуацию с Тегераном осложняют «зашедшие в тупик» переговоры по ядерной тематике, а перспективы заключения сделки с Каракасом «весьма туманны», отмечает издание.Газета пишет, что р",0,Байден оказался перед сложной дилеммой из-за решения ОПЕК+,['Политика'],NYT: Байден оказался перед сложной дилеммой из-за решения ОПЕК+ по снижению нефтедобычи,https://lenta.ru/news/2022/10/08/dilemma/,2000,0
81,81,"Глава представительства Луганской народной республики (ЛНР) в Москве Родион Мирошник заявил, что НАТО не возьмет на себя обязательства по защите Украины и оставит ее, как Афганистан. Его слова приводит ТАСС.Мирошник напомнил, что устав НАТО не позволяет альянсу принимать страны, у которых имеются неурегулированные территориальные конфликты. По этой же причине блок отказал и Грузии, считает он.«НАТО все, что хотела получить от Украины, получает и без ее членства, даже больше. Украина предоставила свою территорию для ведения разрушительной войны и свое население для уничтожения. Никаких национальных интересов или выгод украинский народ не получает и не получит», — заверил Мирошник.По его словам, альянс будет снабжать Киев «до тех пор, пока им это выгодно». «Потом просто закончат операцию, как это было в Афганистане», — заключил представитель ЛНР.Ранее премьер-министр Литвы �нгрида Шимоните заявила о необходимости немедленно начать переговоры о вступлении Украины в НАТО. По словам политика, отказ принять Киев в североатлантический альянс ранее был «большой ошибкой», поэтому НАТО «в моральном» долгу перед Украиной — он требует более серьезной реакции, чем оказание военной помощи и обучение солдат.",0,Действия НАТО в отношении Украины сравнили с Афганистаном,['Политика'],"Представитель ЛНР в Москве Мирошник: НАТО не защитит Украину и оставит ее, как Афганистан",https://lenta.ru/news/2022/10/08/miroshnik/,2000,0
82,82,"Россиянам необходимо заплатить имущественные налоги за 2021 год до 1 декабря. Расчет налога за квартиру, землю и транспорт делает Федеральная налоговая служба (ФНС). Об этом напомнил управляющий партнер юридического бюро А+ Василий Мельник в беседе с агентством «Прайм».Налог на имущество обязаны заплатить россияне, у которых в распоряжении есть собственность — земля, строения, квартиры, машиноместа. Транспортный налог оплачивают владельцы транспорта. Узнать сумму к оплате можно в личном кабинете сервиса Налог.ру.«Если в составе имущества допущены ошибки, и присутствует объект, который вам давно не принадлежит, то необходимо подать заявление об исключении объекта из расчета налога», — подчеркнул Мельник. При наличии льгот или налогового вычета, об этом необходимо заявить до уплаты налога, тогда сумма будет пересчитана.Ранее сообщалось, что Минфин России планирует пополнить бюджет страны на 2023 год за счет ужесточения табачного законодательства. Найденный способ получения дополнительных доходов может принести бюджету 100 миллиардов рублей",0,Россиянам напомнили об оплате имущественного налога,['Общество'],Юрист Мельник: россиянам до 1 декабря необходимо заплатить имущественный налог за 2021 год,https://lenta.ru/news/2022/10/08/imnalog/,2000,4
83,83,"Глава М�Д Саудовской Аравии Адель аль-Джубейр в интервью Fox News ответил на претензии США из-за сокращения добычи нефти.Он подчеркнул, что высокие цены на бензин в США — не вина Саудовской Аравии, а следствие нехватки нефтеперерабатывающих заводов (НПЗ) в самих Штатах. «У вас дефицит переработки, вы не строили нефтеперерабатывающие заводы десятилетиями», — заявил министр.При этом аль-Джубейр заверил, что Саудовская Аравия не ставила целью навредить США, а идея об этом «целиком и полностью неверна».Ранее президент США Джо Байден обвинил Россию и Саудовскую Аравию в росте цен на бензин в стране после того, как ОПЕК+ решила резко сократить добычу нефти с ноября текущего года, об этом стало известно 5 октября. Страны должны будут уменьшить производство на два миллиона баррелей в сутки.Крах однополярного мира",0,В Саудовской Аравии ответили на претензии США из-за сокращения добычи нефти,['Госэкономика']," Глава М�Д аль-Джубейр заявил, что Саудовская Аравия сократила добычу нефти не во вред США",https://lenta.ru/news/2022/10/08/saud/,2000,0
